Name,Image-path,Result,Pattern list
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/enterpriseproducts,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/enterpriseproducts.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/eon,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/eon.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/equinor,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/equinor.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/exeloncorp,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/exeloncorp.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/exor,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/exor.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/exxonmobil,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/exxonmobil.png,True,['Sneaking']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/fanniemae,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/fanniemae.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/fb,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/fb.png,True,['Unknown']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/fedex,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/fedex.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/finatis,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/finatis.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/ford,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/ford.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/fortum,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/fortum.png,True,['Obstruction']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/foxconn,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/foxconn.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/fresenius,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/fresenius.png,True,['Unknown']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/fubon,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/fubon.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/fujitsu,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/fujitsu.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/gd,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/gd.png,True,['Obstruction']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/ge,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/ge.png,False,[]
