Company name,Image path,Top-left coord,Bottom-Right coord
Univarsolutions,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\univarsolutions.png,"(18, 63)","(282, 88)"
Unum,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\unum.png,"(43, 1875)","(138, 1889)"
Ups,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ups.png,"(1319, 1982)","(1730, 2002)"
Viatris,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\viatris.png,"(1593, 945)","(2155, 973)"
Visa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\visa.png,"(1450, 22)","(2152, 39)"
Vmware,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\vmware.png,"(2684, 1905)","(2836, 1921)"
Vrtx,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\vrtx.png,"(367, 1974)","(436, 1983)"
Wabteccorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\wabteccorp.png,"(587, 1982)","(930, 1996)"
Walgreensbootsalliance,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\walgreensbootsalliance.png,"(1415, 2006)","(1509, 2020)"
Watsco,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\watsco.png,"(94, 2011)","(284, 2031)"
Wellsfargo,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\wellsfargo.png,"(1250, 617)","(1432, 637)"
Westerndigital,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\westerndigital.png,"(1334, 551)","(1647, 571)"
Westernsouthern,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\westernsouthern.png,"(1415, 2018)","(1500, 2032)"
Westrock,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\westrock.png,"(28, 2006)","(123, 2020)"
Williamsf1,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\williamsf1.png,"(3572, 1815)","(3621, 1832)"
Xpo,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\xpo.png,"(1169, 1920)","(1683, 1950)"
Zoetis,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\zoetis.png,"(30, 1953)","(2075, 1980)"
